Perfume,Marca,Acordes,Notas
$,D.S.& Durga,"Almizclado, Nardos, Animálico, Floral blanco, Cuero, Atalcado, Avainillado, Dulce, Ámbar","Almizcle, Nardos, Haba tonka, Cuero, Styrax"
0,Blood Concept,"Cuero, Metálico, Afrutados, Ahumado, Amaderado","Alcaravea, Abedul, Cuero, Rosa, Cedro de virginia, Cyperus esculentus, Metallic notes, Frambuesa"
000,Le Monde Gourmand,"Amaderado, Florales, Cítrico, Atalcado, Fresco especiado","Fresia, Bergamota, Lirio de agua, Sandal"
001 Orange Blossom Petitgrain Bergamot,Bon Parfumeur,"Cítrico, Floral blanco, Aromático, Fresco especiado, Verde","Almizcle, Flor de azahar del naranjo, Jazmín, Mandarin orange, Lavanda, Romero, Neroli, Cidra, Petitgrain, Bergamota"
001 Woman X Lladró,Loewe,"Almizclado, Florales, Cítrico, Atalcado, Avainillado, Aromático, Dulce, Ámbar, Floral blanco, Nueces","Lino, Almizcle, Haba tonka, Bergamota, Jazmín"
002 Neroli Jasmin Ambre Blanc,Bon Parfumeur,"Floral blanco, Fresco, Cítrico, Florales, Fresco especiado","Bergamota de sicilia, Almizcle, Peonía, Jazmín, Ámbar blanco, Lirio de los valles (muguete), Neroli"
002 Sense Of Glam,Zara,"Rosas, Afrutados, Avainillado, Tropical, Fresco","Rosa, Litchi, Vainilla"
003 Cotton Kiss,Zara,"Iris, Almizclado, Florales, Atalcado, Afrutados","Ambretón, Pera, Iris"
003 Yuzu Feuilles De Violette Vetiver,Bon Parfumeur,"Cítrico, Verde, Fresco especiado, Aromático, Ozónico","Resina de elemí, Almizcle, Hojas de violeta, Jazmín, Vetiver, Neroli, Bergamota, Yuzu"
"003 Yuzu Feuilles De Violette, Vétiver",Bon Parfumeur,"Cítrico, Aromático, Verde, Fresco especiado, Ozónico, Acuático, Amaderado, Floral blanco, Florales","Yuzu, Bergamota, Hojas de violeta, Jazmín, Neroli, Resina de elemí, Vetiver, Almizcle"
004 Gin Mandarine Musc,Bon Parfumeur,"Cítrico, Aromático, Fresco especiado, Cálido especiado, Tabaco","Tabaco, Nuez moscada, Limón italiano (lima italiana), Haba tonka, Mandarin orange, Hojas de pachulí de indonesia, Jengibre, Bergamota, Almizcle blanco, Juniper berries"
004 Me My Selfie,Zara,"Almendrado, Dulce, Florales, Avainillado, Nueces","Haba tonka, Almendro, Magnolia"
005 Feels Like Winter,Zara,"Avainillado, Atalcado, Violeta, Floral blanco, Florales","Jazmín, Vainilla, Violeta"
006 Glittery Mood,Zara,"Afrutados, Florales, Fresco, Especiado suave, Rosas","Peonía, Almizcle, Grosellas negras"
007 Feels Like Summer,Zara,"Cítrico, Afrutados, Atalcado, Amaderado, Dulce","Albaricoque, Sándalo, Naranja dulce"
007 Royal Patchouli,Ajmal,"Pachulí, Amaderado, Avainillado, Ámbar, Atalcado","Almizcle, Ylang-ylang, Rosa, Pachulí, Jazmín, Vainilla, Neroli, Ámbar"
015,Avon,"Verde, Cítrico, Fresco especiado, Aromático, Amaderado","Almizcle, Galbanum, Moss, Jazmín, Sándalo, Vetiver, Geranio, Albahaca, Lavanda, Cedro, Bergamota, Apio"
015 London,Avon,"Amaderado, Aromático, Cítrico, Ozónico, Almizclado","Almizcle, Walnut, Moss, Lavanda, Ozonic notes, Petitgrain, Pino, Bergamota, Ámbar, Cedro"
015 Miami Nights,Avon,"Afrutados, Dulce, Amaderado, Cítrico, Fresco","Almizcle, Esencia de cedro, Haba tonka, Naranja amarga, Sándalo, Flor de manzana, Rhubarb, Pimienta rosa, Piña"
015 Vegas,Avon,"Cítrico, Almizclado, Aromático, Fresco especiado, Atalcado","Almizcle, Geranio, Limón italiano (lima italiana)"
01 Divina,Divina Terra,"Rosas, Amaderado, Aromático, Afrutados, Avainillado","Rosa, Hojas de uvas, Jazmín, Vainilla, Hojas de roble, Lirio de los valles (muguete), Grosellas negras, Musgo de roble, Cedro"
